split ID,account ID,行程名稱,記帳名稱,旅伴名稱,分攤金額,分攤幣別,台幣結算,insert date,update date
spl000098,acc00051,新倉山淺間公園,富士山扭蛋,瓜,0,JPY,0,2026-04-18 14:50:40,2026-04-18 14:50:40
spl000101,acc00043,忍野八海,艾草糰子,油,-75,JPY,-15,2026-04-18 14:51:46,2026-04-18 14:51:46
spl000102,acc00043,忍野八海,艾草糰子,瓜,-75,JPY,-15,2026-04-18 14:51:46,2026-04-18 14:51:46
spl000106,acc00048,羅森便利商店 富士河口湖町公所前店,富士山羅森午餐,油,0,JPY,0,2026-04-18 14:52:55,2026-04-18 14:52:55
spl000107,acc00048,羅森便利商店 富士河口湖町公所前店,富士山羅森午餐,瓜,-313,JPY,-62.6,2026-04-18 14:52:55,2026-04-18 14:52:55
spl000108,acc00049,羅森便利商店 富士河口湖町公所前店,富士山羅森泡澡浴,油,-600,JPY,-120,2026-04-18 14:53:22,2026-04-18 14:53:22
spl000109,acc00049,羅森便利商店 富士河口湖町公所前店,富士山羅森泡澡浴,瓜,0,JPY,0,2026-04-18 14:53:22,2026-04-18 14:53:22
spl000110,acc00050,新倉山淺間公園,草莓,油,-600,JPY,-120,2026-04-18 14:54:11,2026-04-18 14:54:11
spl000111,acc00050,新倉山淺間公園,草莓,瓜,0,JPY,0,2026-04-18 14:54:11,2026-04-18 14:54:11
spl000112,acc00036,淺草神社,淺草神社御守,油,0,JPY,0,2026-04-18 15:04:10,2026-04-18 15:04:10
spl000113,acc00036,淺草神社,淺草神社御守,瓜,-1600,JPY,-320,2026-04-18 15:04:10,2026-04-18 15:04:10
spl000114,acc00037,仲見世商店街,明信片part1,油,-400,JPY,-80,2026-04-18 15:04:34,2026-04-18 15:04:34
spl000115,acc00037,仲見世商店街,明信片part1,瓜,-400,JPY,-80,2026-04-18 15:04:34,2026-04-18 15:04:34
spl000116,acc00038,淺草寺,淺草寺御朱印帳+御朱印,油,-4000,JPY,-800,2026-04-18 15:04:56,2026-04-18 15:04:56
spl000117,acc00038,淺草寺,淺草寺御朱印帳+御朱印,瓜,0,JPY,0,2026-04-18 15:04:56,2026-04-18 15:04:56
spl000118,acc00039,淺草神社,淺草神社御朱印+御朱印帳,油,-2000,JPY,-400,2026-04-18 15:05:18,2026-04-18 15:05:18
spl000119,acc00039,淺草神社,淺草神社御朱印+御朱印帳,瓜,0,JPY,0,2026-04-18 15:05:18,2026-04-18 15:05:18
spl000122,acc00041,一蘭 淺草店,午餐一蘭拉麵,油,0,JPY,0,2026-04-18 15:06:12,2026-04-18 15:06:12
spl000123,acc00041,一蘭 淺草店,午餐一蘭拉麵,瓜,-1530,JPY,-306,2026-04-18 15:06:12,2026-04-18 15:06:12
spl000124,acc00046,淺草寺,淺草寺抽籤,油,-100,JPY,-20,2026-04-18 15:06:43,2026-04-18 15:06:43
spl000125,acc00046,淺草寺,淺草寺抽籤,瓜,-100,JPY,-20,2026-04-18 15:06:43,2026-04-18 15:06:43
spl000126,acc00047,淺草寺,淺草寺跟淺草神社拜拜丟錢幣,油,-25,JPY,-5,2026-04-18 15:07:26,2026-04-18 15:07:26
spl000127,acc00047,淺草寺,淺草寺跟淺草神社拜拜丟錢幣,瓜,-25,JPY,-5,2026-04-18 15:07:26,2026-04-18 15:07:26
spl000128,acc00033,鳴門鯛燒本舖 淺草新仲見世通店,鯛魚燒,油,-200,JPY,-40,2026-04-18 15:09:59,2026-04-18 15:09:59
spl000129,acc00033,鳴門鯛燒本舖 淺草新仲見世通店,鯛魚燒,瓜,-200,JPY,-40,2026-04-18 15:09:59,2026-04-18 15:09:59
spl000130,acc00053,Lawson Hirai Ekimae Shop,羅森超商,油,-972,JPY,-196.83,2026-04-18 21:20:46,2026-04-18 21:20:46
spl000131,acc00053,Lawson Hirai Ekimae Shop,羅森超商,瓜,-704,JPY,-142.56,2026-04-18 21:20:46,2026-04-18 21:20:46
spl000132,acc00054,Lawson Hirai Ekimae Shop,[回饋] (acc00053) 羅森超商,油,5.09085,TWD,5.09085,2026-04-18 21:20:46,2026-04-18 21:20:46
spl000133,acc00055,東京鐵塔,置物櫃寄放行李,油,-250,JPY,-50.625,2026-04-18 21:21:28,2026-04-18 21:21:28
spl000134,acc00055,東京鐵塔,置物櫃寄放行李,瓜,-250,JPY,-50.625,2026-04-18 21:21:28,2026-04-18 21:21:28
spl000138,acc00058,ワイズマート平井店,Y's mart晚餐,油,-1864,JPY,-377.46,2026-04-18 21:26:30,2026-04-18 21:26:30
spl000139,acc00058,ワイズマート平井店,Y's mart晚餐,瓜,-1346,JPY,-272.565,2026-04-18 21:26:30,2026-04-18 21:26:30
spl000140,acc00059,ワイズマート平井店,[回饋] (acc00058) Y's mart晚餐,油,9.750375,TWD,9.750375,2026-04-18 21:26:30,2026-04-18 21:26:30
spl000141,acc00060,淺草,淺草os drug第二波購物,油,-470,JPY,-95.175,2026-04-18 21:31:33,2026-04-18 21:31:33
spl000142,acc00060,淺草,淺草os drug第二波購物,瓜,-6050,JPY,-1225.125,2026-04-18 21:31:33,2026-04-18 21:31:33
spl000143,acc00061,,羅森泡麵,油,0,JPY,0,2026-04-18 21:33:04,2026-04-18 21:33:04
spl000144,acc00061,,羅森泡麵,瓜,-642,JPY,-130.005,2026-04-18 21:33:04,2026-04-18 21:33:04
spl000145,acc00062,黑毛和牛壽喜燒 日本橋一里,黑毛和牛壽喜燒晚餐,油,-1890,JPY,-382.725,2026-04-18 21:33:55,2026-04-18 21:33:55
spl000146,acc00062,黑毛和牛壽喜燒 日本橋一里,黑毛和牛壽喜燒晚餐,瓜,-1890,JPY,-382.725,2026-04-18 21:33:55,2026-04-18 21:33:55
spl000147,acc00063,仲見世商店街,明信片part 2,油,-300,JPY,-60.75,2026-04-18 21:37:02,2026-04-18 21:37:02
spl000148,acc00063,仲見世商店街,明信片part 2,瓜,-450,JPY,-91.125,2026-04-18 21:37:02,2026-04-18 21:37:02
spl000149,acc00035,,猩猩與狗狗大便,油,-1100,JPY,-222.75,2026-04-19 5:28:54,2026-04-19 5:28:54
spl000150,acc00035,,猩猩與狗狗大便,瓜,0,JPY,0,2026-04-19 5:28:54,2026-04-19 5:28:54
spl000151,acc00042,,醬油糰子,油,-50,JPY,-10.125,2026-04-19 5:29:22,2026-04-19 5:29:22
spl000152,acc00042,,醬油糰子,瓜,-50,JPY,-10.125,2026-04-19 5:29:22,2026-04-19 5:29:22
spl000153,acc00040,一蘭 淺草店,午餐一蘭拉麵,油,-1690,JPY,-342.225,2026-04-19 5:29:56,2026-04-19 5:29:56
spl000154,acc00040,一蘭 淺草店,午餐一蘭拉麵,瓜,0,JPY,0,2026-04-19 5:29:56,2026-04-19 5:29:56
spl000155,acc00056,Fashion Center Shimamura Asakusa ROX · 3G shop,淺草Honeys衣服,油,-4460,JPY,-903.15,2026-04-19 5:31:32,2026-04-19 5:31:32
